Name,Word Count,Unique Count,Difficulty Score,Words Learnt with only this book,Words learnt if read twice,Average Sentence Length,Average Clause Length,Uncommon Words
EPISTOLA DE S. PAULO APOSTOLO A PHILEMON.txt, 435, 227, 21136.666915759368, 5, 13, 11.745098039215685, 6.180952380952381, 66
AGGEO.txt, 1069, 360, 13465.43993396528, 11, 29, 12.185185185185185, 5.270370370370371, 90
O SANCTO EVANGELHO SEGUNDO S. MATTHEUS.txt, 21043, 3721, 15272.260079544125, 267, 514, 9.86983546617916, 5.397240377632534, 2338
EPISTOLA DE S. PAULO APOSTOLO AOS PHILIPPENSES.txt, 2115, 704, 25390.97734251944, 30, 60, 13.419811320754716, 6.47457627118644, 299
PRIMEIRA EPISTOLA DE S. PAULO APOSTOLO AOS THESSALONICENSES.txt, 1851, 591, 21407.858204080752, 26, 55, 10.923728813559322, 5.89727463312369, 255
ACTOS DOS APOSTOLOS.txt, 21485, 3789, 21993.279424715987, 285, 513, 12.043310463121784, 5.709780364182467, 2481
EPISTOLA UNIVERSAL DO APOSTOLO S. JUDAS.txt, 588, 339, 35961.457384416884, 4, 12, 12.215384615384615, 5.644736842105263, 121
O TERCEIRO LIVRO DE MOYSÉS CHAMADO LEVITICO.txt, 21196, 2113, 8466.262901959499, 290, 480, 13.420362903225806, 6.703139643861293, 1188
PRIMEIRA EPISTOLA UNIVERSAL DO APOSTOLO S. JOÃO.txt, 2353, 476, 11046.683850653768, 36, 87, 11.064056939501778, 6.567829457364341, 166
O QUINTO LIVRO DE MOYSÉS CHAMADO DEUTERONOMIO.txt, 25187, 3445, 12181.56943208437, 269, 512, 13.135510204081633, 6.720411331005045, 2115
SEGUNDA EPISTOLA DO APOSTOLO S. JOÃO.txt, 293, 163, 21309.26174394838, 2, 7, 11.617647058823529, 6.294117647058823, 43
O SANCTO EVANGELHO SEGUNDO S. LUCAS.txt, 22792, 4041, 15376.276552791505, 266, 531, 9.990291262135923, 5.440267765190526, 2594
OBADIAS.txt, 571, 267, 21823.747439091658, 9, 16, 12.56140350877193, 6.954954954954955, 82
O SANCTO EVANGELHO SEGUNDO S. MARCOS.txt, 13235, 2679, 13895.9414285436, 176, 351, 9.649737302977233, 5.198860398860399, 1527
EPISTOLA UNIVERSAL DO APOSTOLO S. THIAGO.txt, 2196, 834, 27907.35686849203, 24, 59, 11.464, 6.072124756335283, 379
O LIVRO DE RUTH.txt, 2305, 698, 13233.57188756936, 32, 88, 10.558490566037737, 5.945631067961165, 256
O LIVRO DE JOSUÉ.txt, 17263, 2472, 13153.214717100998, 205, 399, 13.115960099750623, 6.079752953813104, 1417
SEGUNDA EPISTOLA DE S. PAULO APOSTOLO A TIMOTHEO.txt, 1597, 708, 40447.88952978523, 19, 40, 12.875, 6.297297297297297, 344
EPISTOLA DE S. PAULO APOSTOLO AOS COLOSSENSES.txt, 1960, 656, 25948.9765297178, 29, 61, 12.788461538461538, 6.1260683760683765, 292
O LIVRO DE NEHEMIAS.txt, 9547, 2009, 20148.543172563972, 120, 251, 13.341013824884792, 5.374352331606218, 1112
