Name,Word Count,Unique Count,Difficulty Score,Words Learnt with only this book,Words learnt if read twice,Average Sentence Length,Average Clause Length,Uncommon Words
EPISTOLA DE S. PAULO APOSTOLO A PHILEMON.txt, 435, 227, 75224.05871911075, 5, 13, 11.745098039215685, 6.180952380952381, 114
AGGEO.txt, 1069, 360, 104318.45356987607, 11, 29, 12.185185185185185, 5.270370370370371, 210
O SANCTO EVANGELHO SEGUNDO S. MATTHEUS.txt, 21043, 3721, 75446.76210093737, 267, 514, 9.86983546617916, 5.397240377632534, 3035
EPISTOLA DE S. PAULO APOSTOLO AOS PHILIPPENSES.txt, 2115, 704, 89043.4183849251, 30, 60, 13.419811320754716, 6.47457627118644, 429
PRIMEIRA EPISTOLA DE S. PAULO APOSTOLO AOS THESSALONICENSES.txt, 1851, 591, 89056.8783860181, 26, 55, 10.923728813559322, 5.89727463312369, 389
ACTOS DOS APOSTOLOS.txt, 21485, 3789, 86033.72923996077, 285, 513, 12.043310463121784, 5.709780364182467, 3108
EPISTOLA UNIVERSAL DO APOSTOLO S. JUDAS.txt, 588, 339, 143884.7382015477, 4, 12, 12.215384615384615, 5.644736842105263, 220
O TERCEIRO LIVRO DE MOYSÉS CHAMADO LEVITICO.txt, 21196, 2113, 72145.00154057491, 290, 480, 13.420362903225806, 6.703139643861293, 1680
PRIMEIRA EPISTOLA UNIVERSAL DO APOSTOLO S. JOÃO.txt, 2353, 476, 46998.512772290516, 36, 87, 11.064056939501778, 6.567829457364341, 301
O QUINTO LIVRO DE MOYSÉS CHAMADO DEUTERONOMIO.txt, 25187, 3445, 80915.57153077197, 269, 512, 13.135510204081633, 6.720411331005045, 2825
SEGUNDA EPISTOLA DO APOSTOLO S. JOÃO.txt, 293, 163, 157809.97495826302, 2, 7, 11.617647058823529, 6.294117647058823, 84
O SANCTO EVANGELHO SEGUNDO S. LUCAS.txt, 22792, 4041, 77474.73815003868, 266, 531, 9.990291262135923, 5.440267765190526, 3323
OBADIAS.txt, 571, 267, 157031.88188739272, 9, 16, 12.56140350877193, 6.954954954954955, 164
O SANCTO EVANGELHO SEGUNDO S. MARCOS.txt, 13235, 2679, 75262.58008090916, 176, 351, 9.649737302977233, 5.198860398860399, 2106
EPISTOLA UNIVERSAL DO APOSTOLO S. THIAGO.txt, 2196, 834, 108094.40760209985, 24, 59, 11.464, 6.072124756335283, 570
O LIVRO DE RUTH.txt, 2305, 698, 77708.2374549327, 32, 88, 10.558490566037737, 5.945631067961165, 432
O LIVRO DE JOSUÉ.txt, 17263, 2472, 60168.02536974616, 205, 399, 13.115960099750623, 6.079752953813104, 2002
SEGUNDA EPISTOLA DE S. PAULO APOSTOLO A TIMOTHEO.txt, 1597, 708, 138850.4669439262, 19, 40, 12.875, 6.297297297297297, 480
EPISTOLA DE S. PAULO APOSTOLO AOS COLOSSENSES.txt, 1960, 656, 148794.18425155897, 29, 61, 12.788461538461538, 6.1260683760683765, 437
O LIVRO DE NEHEMIAS.txt, 9547, 2009, 88128.4234900364, 120, 251, 13.341013824884792, 5.374352331606218, 1604
