Name,Word Count,Unique Count,Difficulty Score,Words Learnt with only this book,Words learnt if read twice,Average Sentence Length,Average Clause Length,Uncommon Words,Proportion Known
SEGUNDA EPISTOLA DE S. PAULO APOSTOLO AOS THESSALONICENSES.txt, 991, 393, 10254.70724091905, 19, 28, 14.297872340425531, 6.778301886792453, 134, 0.5782038345105953
AMÓS.txt, 3751, 1083, 7039.9819662830305, 48, 99, 12.26943005181347, 6.322222222222222, 436, 0.5891762196747534
O PRIMEIRO LIVRO DAS CHRONICAS.txt, 19578, 3087, 7412.0410032784885, 213, 421, 12.731318681318681, 5.2280334728033475, 1887, 0.5571559914189397
O LIVRO DOS PSALMOS.txt, 41326, 5723, 6380.786133383201, 386, 764, 10.611729452054794, 6.874794069192752, 4097, 0.5715772153123941
DANIEL.txt, 10881, 1891, 6475.6503010472325, 138, 314, 14.045793397231098, 6.185201401050788, 891, 0.5656649205036302
MALACHIAS.txt, 1664, 555, 5543.222629286182, 26, 47, 10.680203045685278, 6.3535911602209945, 184, 0.6310096153846154
SOFONIAS.txt, 1467, 548, 7947.354744013757, 19, 42, 12.556291390728477, 6.474683544303797, 194, 0.6162235855487389
EPISTOLA DE S. PAULO APOSTOLO A PHILEMON.txt, 435, 227, 9756.403091289918, 5, 13, 11.745098039215685, 6.180952380952381, 66, 0.5264367816091954
AGGEO.txt, 1069, 360, 5131.098770353118, 11, 29, 12.185185185185185, 5.270370370370371, 84, 0.6005612722170253
O SANCTO EVANGELHO SEGUNDO S. MATTHEUS.txt, 21043, 3721, 6947.897672711494, 267, 514, 9.86983546617916, 5.397240377632534, 2331, 0.5373758494511239
EPISTOLA DE S. PAULO APOSTOLO AOS PHILIPPENSES.txt, 2115, 704, 10936.680215826678, 30, 60, 13.419811320754716, 6.47457627118644, 294, 0.5612293144208038
