Name,Word Count,Unique Count,Difficulty Score,Words Learnt with only this book,Words learnt if read twice,Average Sentence Length,Average Clause Length,Uncommon Words
EPISTOLA DE S. PAULO APOSTOLO A PHILEMON.txt, 435, 227, 22087.85058084135, 5, 13, 11.745098039215685, 6.180952380952381, 69
AGGEO.txt, 1069, 360, 14138.711119840325, 11, 29, 12.185185185185185, 5.270370370370371, 92
O SANCTO EVANGELHO SEGUNDO S. MATTHEUS.txt, 21043, 3721, 15802.663454542577, 267, 514, 9.86983546617916, 5.397240377632534, 2465
EPISTOLA DE S. PAULO APOSTOLO AOS PHILIPPENSES.txt, 2115, 704, 26305.74072183596, 30, 60, 13.419811320754716, 6.47457627118644, 310
PRIMEIRA EPISTOLA DE S. PAULO APOSTOLO AOS THESSALONICENSES.txt, 1851, 591, 22017.37458198877, 26, 55, 10.923728813559322, 5.89727463312369, 262
ACTOS DOS APOSTOLOS.txt, 21485, 3789, 22533.801362589136, 285, 513, 12.043310463121784, 5.709780364182467, 2585
EPISTOLA UNIVERSAL DO APOSTOLO S. JUDAS.txt, 588, 339, 36930.576966316636, 4, 12, 12.215384615384615, 5.644736842105263, 127
O TERCEIRO LIVRO DE MOYSÉS CHAMADO LEVITICO.txt, 21196, 2113, 8685.758044819371, 290, 480, 13.420362903225806, 6.703139643861293, 1210
PRIMEIRA EPISTOLA UNIVERSAL DO APOSTOLO S. JOÃO.txt, 2353, 476, 12065.318724737315, 36, 87, 11.064056939501778, 6.567829457364341, 187
O QUINTO LIVRO DE MOYSÉS CHAMADO DEUTERONOMIO.txt, 25187, 3445, 12467.731192648796, 269, 512, 13.135510204081633, 6.720411331005045, 2165
SEGUNDA EPISTOLA DO APOSTOLO S. JOÃO.txt, 293, 163, 22626.035801801918, 2, 7, 11.617647058823529, 6.294117647058823, 45
O SANCTO EVANGELHO SEGUNDO S. LUCAS.txt, 22792, 4041, 15905.200158445548, 266, 531, 9.990291262135923, 5.440267765190526, 2730
OBADIAS.txt, 571, 267, 22391.121794653794, 9, 16, 12.56140350877193, 6.954954954954955, 83
O SANCTO EVANGELHO SEGUNDO S. MARCOS.txt, 13235, 2679, 14599.558907286588, 176, 351, 9.649737302977233, 5.198860398860399, 1628
EPISTOLA UNIVERSAL DO APOSTOLO S. THIAGO.txt, 2196, 834, 28720.876675693446, 24, 59, 11.464, 6.072124756335283, 395
O LIVRO DE RUTH.txt, 2305, 698, 13888.194542150633, 32, 88, 10.558490566037737, 5.945631067961165, 269
O LIVRO DE JOSUÉ.txt, 17263, 2472, 13451.375395180998, 205, 399, 13.115960099750623, 6.079752953813104, 1445
SEGUNDA EPISTOLA DE S. PAULO APOSTOLO A TIMOTHEO.txt, 1597, 708, 41216.37303586, 19, 40, 12.875, 6.297297297297297, 346
EPISTOLA DE S. PAULO APOSTOLO AOS COLOSSENSES.txt, 1960, 656, 26637.008593270035, 29, 61, 12.788461538461538, 6.1260683760683765, 297
O LIVRO DE NEHEMIAS.txt, 9547, 2009, 20520.65822035213, 120, 251, 13.341013824884792, 5.374352331606218, 1135
